trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
5_24_1,random,random/5_24_1.txt,5,C,"[[12, 12], [20, 17], [14, 19], [19, 24], [3, 9]]","[275, 403, 445, 570, 194]","[[15, 14], [24, 18], [12, 18], [17, 22], [4, 10]]","[326, 431, 419, 520, 219]","[[12, 11], [23, 16], [12, 21], [21, 22], [2, 10]]","[251, 382, 491, 524, 217]","[[11, 12], [23, 17], [11, 20], [21, 23], [3, 11]]","[274, 406, 466, 548, 242]"
5_24_10,random,random/5_24_10.txt,5,D,"[[17, 21], [24, 15], [18, 12], [13, 2], [12, 12]]","[496, 359, 281, 36, 275]","[[16, 24], [23, 16], [16, 15], [15, 2], [9, 7]]","[567, 382, 351, 38, 152]","[[18, 23], [23, 18], [15, 18], [16, 5], [8, 7]]","[545, 430, 422, 111, 151]","[[17, 24], [23, 19], [14, 19], [17, 4], [8, 8]]","[568, 454, 445, 88, 175]"
5_24_2,random,random/5_24_2.txt,5,C,"[[21, 4], [12, 12], [15, 4], [22, 15], [12, 6]]","[92, 275, 86, 357, 131]","[[19, 5], [9, 15], [13, 5], [23, 15], [11, 3]]","[114, 344, 108, 358, 58]","[[19, 5], [9, 15], [16, 6], [21, 16], [12, 2]]","[114, 344, 135, 380, 35]","[[18, 5], [9, 16], [15, 5], [22, 15], [13, 1]]","[113, 368, 110, 357, 12]"
5_24_3,random,random/5_24_3.txt,5,B,"[[21, 6], [13, 1], [12, 12], [20, 18], [11, 16]]","[140, 12, 275, 427, 370]","[[20, 9], [15, 4], [8, 13], [21, 16], [10, 15]]","[211, 86, 295, 380, 345]","[[20, 9], [15, 2], [10, 14], [20, 17], [10, 15]]","[211, 38, 321, 403, 345]","[[19, 10], [15, 3], [9, 12], [21, 15], [11, 14]]","[234, 62, 272, 356, 322]"
5_24_4,random,random/5_24_4.txt,5,D,"[[19, 12], [22, 4], [16, 12], [12, 12], [20, 14]]","[282, 93, 279, 275, 331]","[[20, 11], [21, 1], [14, 14], [13, 12], [18, 12]]","[259, 20, 325, 276, 281]","[[18, 10], [23, 1], [17, 14], [15, 12], [18, 13]]","[233, 22, 328, 278, 305]","[[17, 9], [24, 1], [16, 13], [15, 13], [19, 14]]","[208, 23, 303, 302, 330]"
5_24_5,random,random/5_24_5.txt,5,B,"[[14, 1], [8, 16], [13, 24], [6, 15], [12, 12]]","[13, 367, 564, 341, 275]","[[15, 5], [7, 16], [13, 21], [6, 13], [8, 12]]","[110, 366, 492, 293, 271]","[[13, 1], [5, 13], [10, 21], [5, 15], [11, 12]]","[12, 292, 489, 340, 274]","[[15, 4], [7, 15], [12, 20], [6, 14], [7, 12]]","[86, 342, 467, 317, 270]"
5_24_6,random,random/5_24_6.txt,5,D,"[[12, 12], [11, 2], [15, 7], [17, 24], [5, 24]]","[275, 34, 158, 568, 556]","[[12, 9], [12, 1], [14, 9], [18, 23], [2, 22]]","[203, 11, 205, 545, 505]","[[11, 5], [14, 2], [14, 13], [17, 23], [1, 21]]","[106, 37, 301, 544, 480]","[[10, 6], [14, 1], [15, 14], [16, 23], [2, 21]]","[129, 13, 326, 543, 481]"
5_24_7,random,random/5_24_7.txt,5,D,"[[17, 9], [12, 12], [21, 11], [8, 11], [17, 15]]","[208, 275, 260, 247, 352]","[[18, 9], [11, 15], [20, 8], [6, 7], [16, 18]]","[209, 346, 187, 149, 423]","[[17, 8], [11, 14], [20, 9], [6, 8], [19, 18]]","[184, 322, 211, 173, 426]","[[16, 7], [10, 15], [21, 10], [7, 8], [19, 19]]","[159, 345, 236, 174, 450]"
5_24_8,random,random/5_24_8.txt,5,D,"[[4, 21], [22, 3], [12, 12], [8, 8], [17, 14]]","[483, 69, 275, 175, 328]","[[1, 19], [21, 3], [11, 11], [7, 6], [14, 12]]","[432, 68, 250, 126, 277]","[[3, 20], [20, 3], [9, 13], [9, 7], [16, 13]]","[458, 67, 296, 152, 303]","[[2, 21], [19, 3], [8, 13], [9, 8], [17, 14]]","[481, 66, 295, 176, 328]"
5_24_9,random,random/5_24_9.txt,5,D,"[[13, 23], [22, 13], [8, 21], [12, 12], [13, 2]]","[540, 309, 487, 275, 36]","[[18, 24], [20, 14], [7, 22], [11, 10], [11, 2]]","[569, 331, 510, 226, 34]","[[17, 24], [17, 14], [5, 20], [9, 9], [12, 1]]","[568, 328, 460, 200, 11]","[[16, 24], [18, 13], [6, 20], [10, 8], [13, 1]]","[567, 305, 461, 177, 12]"
