maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,10,000,0,S,0,0,,,random
2,10,000,0,A,0,0,,,random
3,10,000,0,B,0,0,,,random
4,10,000,0,S,0,0,,,random
5,10,000,0,A,0,0,,,random
6,10,000,0,B,0,0,,,random
7,10,000,0,S,0,0,,,random
8,10,000,0,A,0,0,,,random
9,10,000,0,B,0,0,,,random
10,10,000,0,S,0,0,,,random
11,10,000,0,A,0,0,,,random
12,10,000,0,B,0,0,,,random
13,10,000,0,S,0,0,,,random
14,10,010,2,A,0,0,,,random
15,10,000,0,B,0,0,,,random
16,10,000,0,S,0,0,,,random
17,10,010,2,A,0,0,,,random
18,10,000,0,B,0,0,,,random
19,10,000,0,S,0,0,,,random
20,10,000,0,A,0,0,,,random
21,10,000,0,B,0,0,,,random
22,10,000,0,S,0,0,,,random
23,10,000,0,A,0,0,,,random
24,10,010,2,B,0,0,,,random
25,10,000,0,S,0,0,,,random
26,10,010,2,A,0,0,,,random
27,10,000,0,B,0,0,,,random
28,10,000,0,S,0,0,,,random
29,10,000,0,A,0,0,,,random
30,10,000,0,B,0,0,,,random
31,10,100,4,S,0,0,,,random
32,10,000,0,A,0,0,,,random
33,10,000,0,B,0,0,,,random
34,10,000,0,S,0,0,,,random
35,10,000,0,A,0,0,,,random
36,10,000,0,B,0,0,,,random
37,10,000,0,S,0,0,,,random
38,10,000,0,A,0,0,,,random
39,10,000,0,B,0,0,,,random
40,10,000,0,S,0,0,,,random
41,10,000,0,A,0,0,,,random
42,10,000,0,B,0,0,,,random
43,10,000,0,S,0,0,,,random
44,10,000,0,A,0,0,,,random
45,10,000,0,B,0,0,,,random
46,10,000,0,S,0,0,,,random
47,10,000,0,A,0,0,,,random
48,10,000,0,B,0,0,,,random
49,10,010,2,S,0,0,,,random
50,10,000,0,A,0,0,,,random
51,10,000,0,B,0,0,,,random
52,10,100,4,S,0,0,,,random
53,10,000,0,A,0,0,,,random
54,10,000,0,B,0,0,,,random
55,10,000,0,S,0,0,,,random
56,10,000,0,A,0,0,,,random
57,10,000,0,B,0,0,,,random
58,10,000,0,S,0,0,,,random
59,10,000,0,A,0,0,,,random
60,10,000,0,B,0,0,,,random
61,10,000,0,S,0,0,,,random
62,10,000,0,A,0,0,,,random
63,10,000,0,B,0,0,,,random
64,10,000,0,S,0,0,,,random
65,10,000,0,A,0,0,,,random
66,10,000,0,B,0,0,,,random
67,10,000,0,S,0,0,,,random
68,10,000,0,A,0,0,,,random
69,10,000,0,B,0,0,,,random
70,10,000,0,S,0,0,,,random
71,10,000,0,A,0,0,,,random
72,10,000,0,B,0,0,,,random
73,10,000,0,S,0,0,,,random
74,10,100,4,A,0,0,,,random
75,10,000,0,B,0,0,,,random
76,10,000,0,S,0,0,,,random
77,10,000,0,A,0,0,,,random
78,10,000,0,B,0,0,,,random
79,10,000,0,S,0,0,,,random
80,10,000,0,A,0,0,,,random
81,10,000,0,B,0,0,,,random
82,10,000,0,S,0,0,,,random
83,10,000,0,A,0,0,,,random
84,10,000,0,B,0,0,,,random
85,10,000,0,S,0,0,,,random
86,10,000,0,A,0,0,,,random
87,10,000,0,B,0,0,,,random
88,10,000,0,S,0,0,,,random
89,10,000,0,A,0,0,,,random
90,10,000,0,B,0,0,,,random
91,10,000,0,S,0,0,,,random
92,10,100,4,A,0,0,,,random
93,10,000,0,B,0,0,,,random
94,10,000,0,S,0,0,,,random
95,10,000,0,A,0,0,,,random
96,10,000,0,B,0,0,,,random
97,10,000,0,S,0,0,,,random
98,10,000,0,A,0,0,,,random
99,10,000,0,B,0,0,,,random
100,10,000,0,S,0,0,,,random
101,10,000,0,A,0,0,,,random
102,10,000,0,B,0,0,,,random
103,10,000,0,S,0,0,,,random
104,10,000,0,A,0,0,,,random
105,10,000,0,B,0,0,,,random
106,10,000,0,S,0,0,,,random
107,10,000,0,A,0,0,,,random
108,10,000,0,B,0,0,,,random
109,10,000,0,S,0,0,,,random
