trial_id,mode,case_type,seq_len_T,xy_json,cell_json
sim1_1,intermediate_case1,1,15,"[[13, 13], [4, 1], [2, 24], [12, 14], [4, 1], [1, 23], [12, 14], [3, 1], [1, 23], [13, 15], [3, 1], [1, 24], [13, 15], [3, 2], [1, 24], [12, 14], [3, 2], [2, 24], [12, 14], [3, 2], [2, 24], [12, 15], [3, 2], [2, 23], [12, 15], [3, 2], [2, 23], [11, 16], [3, 2], [1, 24], [11, 16], [2, 3], [1, 24], [11, 15], [2, 3], [2, 24], [11, 15], [3, 3], [2, 24], [11, 14], [3, 3], [1, 24], [11, 14], [2, 3], [1, 24]]","[300, 3, 553, 323, 3, 528, 323, 2, 528, 348, 2, 552, 348, 26, 552, 323, 26, 553, 323, 26, 553, 347, 26, 529, 347, 26, 529, 370, 26, 552, 370, 49, 552, 346, 49, 553, 346, 50, 553, 322, 50, 552, 322, 49, 552]"
sim1_10,intermediate_case1,1,15,"[[13, 13], [7, 2], [5, 9], [12, 13], [7, 2], [6, 10], [12, 13], [7, 3], [6, 10], [11, 14], [7, 3], [6, 11], [11, 14], [6, 4], [6, 11], [11, 15], [6, 4], [5, 12], [11, 15], [5, 5], [5, 12], [12, 14], [5, 5], [5, 13], [12, 14], [6, 5], [5, 13], [11, 15], [6, 5], [4, 14], [11, 15], [5, 6], [4, 14], [12, 16], [5, 6], [3, 13], [12, 16], [5, 6], [3, 13], [11, 17], [5, 6], [3, 14], [11, 17], [4, 7], [3, 14]]","[300, 30, 196, 299, 30, 221, 299, 54, 221, 322, 54, 245, 322, 77, 245, 346, 77, 268, 346, 100, 268, 323, 100, 292, 323, 101, 292, 346, 101, 315, 346, 124, 315, 371, 124, 290, 371, 124, 290, 394, 124, 314, 394, 147, 314]"
sim1_100,intermediate_case1,1,15,"[[13, 13], [11, 24], [18, 1], [13, 13], [11, 23], [19, 1], [14, 12], [11, 23], [19, 1], [14, 12], [11, 22], [18, 1], [13, 11], [11, 22], [18, 1], [13, 11], [10, 21], [17, 1], [12, 10], [10, 21], [17, 1], [12, 10], [9, 20], [18, 1], [12, 9], [9, 20], [18, 1], [12, 9], [9, 21], [19, 1], [13, 10], [9, 21], [19, 1], [13, 10], [10, 21], [19, 1], [14, 9], [10, 21], [19, 1], [14, 9], [10, 20], [20, 1], [15, 8], [10, 20], [20, 1]]","[300, 562, 17, 300, 538, 18, 277, 538, 18, 277, 514, 17, 252, 514, 17, 252, 489, 16, 227, 489, 16, 227, 464, 17, 203, 464, 17, 203, 488, 18, 228, 488, 18, 228, 489, 18, 205, 489, 18, 205, 465, 19, 182, 465, 19]"
sim1_1000,intermediate_case1,1,15,"[[13, 13], [5, 14], [12, 18], [12, 12], [5, 13], [12, 18], [12, 12], [5, 13], [11, 17], [11, 11], [6, 14], [11, 17], [11, 11], [6, 14], [11, 17], [10, 11], [7, 15], [11, 17], [10, 11], [7, 15], [11, 18], [9, 11], [8, 14], [11, 18], [9, 11], [8, 14], [11, 17], [10, 11], [7, 15], [11, 17], [10, 11], [7, 15], [11, 18], [9, 12], [6, 15], [11, 18], [9, 12], [6, 15], [10, 19], [9, 11], [7, 14], [10, 19], [9, 11], [7, 14], [11, 18]]","[300, 316, 419, 275, 292, 419, 275, 292, 394, 250, 317, 394, 250, 317, 394, 249, 342, 394, 249, 342, 418, 248, 319, 418, 248, 319, 394, 249, 342, 394, 249, 342, 418, 272, 341, 418, 272, 341, 441, 248, 318, 441, 248, 318, 418]"
sim1_1001,intermediate_case1,1,15,"[[18, 2], [13, 13], [12, 2], [18, 2], [12, 12], [13, 1], [18, 1], [12, 12], [13, 1], [18, 1], [12, 13], [13, 2], [18, 2], [12, 13], [13, 2], [18, 2], [12, 14], [13, 1], [18, 2], [12, 14], [13, 1], [18, 2], [13, 14], [12, 2], [18, 3], [13, 14], [12, 2], [18, 3], [12, 13], [11, 1], [17, 2], [12, 13], [11, 1], [17, 2], [11, 14], [11, 2], [16, 3], [11, 14], [11, 2], [16, 3], [10, 15], [11, 3], [15, 4], [10, 15], [11, 3]]","[41, 300, 35, 41, 275, 12, 17, 275, 12, 17, 299, 36, 41, 299, 36, 41, 323, 12, 41, 323, 12, 41, 324, 35, 65, 324, 35, 65, 299, 10, 40, 299, 10, 40, 322, 34, 63, 322, 34, 63, 345, 58, 86, 345, 58]"
sim1_1002,intermediate_case1,1,15,"[[4, 8], [15, 21], [13, 13], [4, 7], [15, 21], [14, 12], [4, 7], [16, 20], [14, 12], [4, 6], [16, 20], [15, 11], [4, 6], [17, 19], [15, 11], [4, 7], [17, 19], [15, 10], [4, 7], [17, 19], [15, 10], [4, 8], [17, 19], [14, 11], [4, 8], [16, 20], [14, 11], [5, 7], [16, 20], [13, 10], [5, 7], [16, 19], [13, 10], [6, 8], [16, 19], [13, 9], [6, 8], [17, 19], [13, 9], [7, 8], [17, 19], [12, 10], [7, 8], [17, 20], [12, 10]]","[171, 494, 300, 147, 494, 277, 147, 471, 277, 123, 471, 254, 123, 448, 254, 147, 448, 230, 147, 448, 230, 171, 448, 253, 171, 471, 253, 148, 471, 228, 148, 447, 228, 173, 447, 204, 173, 448, 204, 174, 448, 227, 174, 472, 227]"
sim1_1003,intermediate_case1,1,15,"[[13, 13], [21, 23], [20, 7], [13, 14], [21, 24], [20, 7], [13, 14], [21, 24], [20, 8], [14, 15], [22, 24], [20, 8], [14, 15], [22, 24], [21, 9], [15, 14], [21, 23], [21, 9], [15, 14], [21, 23], [21, 8], [15, 13], [22, 23], [21, 8], [15, 13], [22, 23], [22, 7], [14, 13], [22, 22], [22, 7], [14, 13], [22, 22], [21, 6], [15, 12], [23, 21], [21, 6], [15, 12], [23, 21], [22, 5], [15, 13], [22, 21], [22, 5], [15, 13], [22, 21], [21, 6]]","[300, 548, 163, 324, 572, 163, 324, 572, 187, 349, 573, 187, 349, 573, 212, 326, 548, 212, 326, 548, 188, 302, 549, 188, 302, 549, 165, 301, 525, 165, 301, 525, 140, 278, 502, 140, 278, 502, 117, 302, 501, 117, 302, 501, 140]"
sim1_1004,intermediate_case1,1,15,"[[18, 20], [13, 13], [6, 22], [17, 19], [12, 12], [6, 22], [17, 19], [12, 12], [5, 21], [18, 20], [11, 13], [5, 21], [18, 20], [11, 13], [5, 22], [19, 19], [11, 12], [5, 22], [19, 19], [11, 12], [6, 21], [19, 20], [12, 13], [6, 21], [19, 20], [12, 13], [7, 22], [19, 19], [13, 12], [7, 22], [19, 19], [13, 12], [8, 21], [18, 18], [14, 11], [8, 21], [18, 18], [14, 11], [8, 20], [17, 19], [15, 11], [8, 20], [17, 19], [15, 11], [8, 21]]","[473, 300, 509, 448, 275, 509, 448, 275, 484, 473, 298, 484, 473, 298, 508, 450, 274, 508, 450, 274, 485, 474, 299, 485, 474, 299, 510, 450, 276, 510, 450, 276, 487, 425, 253, 487, 425, 253, 463, 448, 254, 463, 448, 254, 487]"
sim1_1005,intermediate_case1,1,15,"[[17, 4], [1, 19], [13, 13], [17, 5], [1, 20], [13, 13], [17, 5], [1, 20], [13, 14], [18, 6], [1, 19], [13, 14], [18, 6], [1, 19], [13, 14], [18, 7], [1, 18], [13, 14], [18, 7], [1, 18], [12, 14], [19, 7], [1, 19], [12, 14], [19, 7], [1, 19], [13, 15], [18, 6], [1, 19], [13, 15], [18, 6], [1, 19], [12, 14], [19, 6], [2, 19], [12, 14], [19, 6], [2, 19], [13, 14], [18, 6], [3, 19], [13, 14], [18, 6], [3, 19], [13, 14]]","[88, 432, 300, 112, 456, 300, 112, 456, 324, 137, 432, 324, 137, 432, 324, 161, 408, 324, 161, 408, 323, 162, 432, 323, 162, 432, 348, 137, 432, 348, 137, 432, 323, 138, 433, 323, 138, 433, 324, 137, 434, 324, 137, 434, 324]"
sim1_1006,intermediate_case1,1,15,"[[13, 13], [21, 22], [3, 11], [13, 14], [21, 22], [3, 10], [13, 14], [21, 22], [3, 10], [12, 15], [21, 22], [2, 11], [12, 15], [20, 23], [2, 11], [13, 16], [20, 23], [3, 10], [13, 16], [21, 23], [3, 10], [12, 17], [21, 23], [2, 11], [12, 17], [20, 24], [2, 11], [11, 17], [20, 24], [2, 12], [11, 17], [19, 24], [2, 12], [11, 18], [19, 24], [2, 11], [11, 18], [19, 24], [2, 11], [10, 19], [19, 24], [3, 12], [10, 19], [19, 24], [3, 12]]","[300, 524, 242, 324, 524, 218, 324, 524, 218, 347, 524, 241, 347, 547, 241, 372, 547, 218, 372, 548, 218, 395, 548, 241, 395, 571, 241, 394, 571, 265, 394, 570, 265, 418, 570, 241, 418, 570, 241, 441, 570, 266, 441, 570, 266]"
