trial_id,mode,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
sim1_1,intermediate_case1,A,"[[12, 13], [2, 3], [1, 23]]","[299, 49, 528]","[[11, 15], [3, 3], [2, 24]]","[346, 50, 553]","[[12, 14], [1, 4], [1, 23]]","[323, 72, 528]","[[10, 14], [1, 3], [2, 23]]","[321, 48, 529]"
sim1_10,intermediate_case1,C,"[[12, 16], [5, 8], [2, 14]]","[371, 172, 313]","[[10, 17], [5, 8], [2, 15]]","[393, 172, 337]","[[10, 18], [4, 7], [4, 14]]","[417, 147, 315]","[[12, 17], [4, 6], [4, 15]]","[395, 123, 339]"
sim1_100,intermediate_case1,B,"[[16, 8], [9, 21], [20, 2]]","[183, 488, 43]","[[15, 8], [11, 20], [19, 1]]","[182, 466, 18]","[[16, 8], [11, 19], [21, 1]]","[183, 442, 20]","[[14, 9], [10, 19], [19, 1]]","[205, 441, 18]"
sim1_1000,intermediate_case1,D,"[[2, 4], [2, 7], [6, 13]]","[73, 145, 293]","[[2, 6], [1, 9], [4, 12]]","[121, 192, 267]","[[2, 4], [2, 7], [6, 11]]","[73, 145, 245]","[[2, 4], [1, 7], [5, 12]]","[73, 144, 268]"
sim1_1001,intermediate_case1,A,"[[15, 4], [11, 14], [12, 2]]","[86, 322, 35]","[[14, 5], [9, 15], [12, 2]]","[109, 344, 35]","[[14, 4], [11, 15], [11, 2]]","[85, 346, 34]","[[16, 3], [11, 14], [10, 2]]","[63, 322, 33]"
sim1_1002,intermediate_case1,D,"[[1, 1], [11, 15], [5, 5]]","[0, 346, 100]","[[1, 3], [10, 14], [6, 3]]","[48, 321, 53]","[[2, 2], [12, 14], [5, 4]]","[25, 323, 76]","[[1, 3], [11, 14], [7, 5]]","[48, 322, 102]"
sim1_1003,intermediate_case1,C,"[[10, 6], [16, 14], [15, 1]]","[129, 327, 14]","[[10, 8], [16, 14], [14, 1]]","[177, 327, 13]","[[15, 14], [23, 22], [21, 6]]","[326, 526, 140]","[[10, 8], [15, 15], [16, 1]]","[177, 350, 15]"
sim1_1004,intermediate_case1,A,"[[10, 13], [9, 4], [2, 15]]","[297, 80, 337]","[[12, 12], [10, 4], [3, 14]]","[275, 81, 314]","[[12, 13], [9, 4], [3, 16]]","[299, 80, 362]","[[12, 12], [10, 4], [3, 15]]","[275, 81, 338]"
sim1_1005,intermediate_case1,B,"[[17, 6], [2, 20], [13, 13]]","[136, 457, 300]","[[17, 5], [4, 19], [13, 14]]","[112, 435, 324]","[[19, 5], [2, 18], [14, 13]]","[114, 409, 301]","[[17, 7], [4, 20], [14, 13]]","[160, 459, 301]"
sim1_1006,intermediate_case1,D,"[[10, 18], [19, 23], [4, 11]]","[417, 546, 243]","[[9, 18], [20, 23], [2, 12]]","[416, 547, 265]","[[10, 18], [20, 23], [3, 13]]","[417, 547, 290]","[[11, 20], [19, 24], [4, 13]]","[466, 570, 291]"
