Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     B      #     #
#     #        C   #     #
#     #            #     #
#     #A           #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 1.  9.]
 [ 6.  6.]
 [ 9.  7.]
 [ 2. 10.]
 [ 5.  5.]
 [ 8.  8.]
 [ 2. 11.]
 [ 6.  4.]
 [ 7.  8.]
 [ 3. 10.]
 [ 7.  3.]
 [ 6.  7.]
 [ 4. 11.]
 [ 6.  4.]
 [ 5.  8.]
 [ 3. 12.]
 [ 5.  3.]
 [ 4.  8.]
 [ 2. 11.]
 [ 6.  2.]
 [ 4.  7.]
 [ 1. 12.]
 [ 6.  1.]
 [ 4.  7.]
 [ 1. 11.]
 [ 5.  1.]
 [ 3.  6.]
 [ 1. 12.]
 [ 4.  1.]
 [ 3.  7.]
 [ 2. 12.]
 [ 5.  1.]
 [ 4.  7.]]
