Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #B    C      #     #
#     #            #     #
#     #         A  #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[10.  8.]
 [ 1.  6.]
 [ 6.  6.]
 [ 9.  9.]
 [ 1.  6.]
 [ 5.  7.]
 [ 8. 10.]
 [ 2.  6.]
 [ 5.  8.]
 [ 9. 10.]
 [ 1.  7.]
 [ 5.  9.]
 [ 8. 11.]
 [ 1.  6.]
 [ 5.  9.]
 [ 9. 10.]
 [ 1.  6.]
 [ 5.  8.]
 [ 9. 11.]
 [ 1.  5.]
 [ 5.  8.]
 [ 9. 12.]
 [ 1.  6.]
 [ 5.  9.]
 [ 8. 12.]
 [ 1.  7.]
 [ 5. 10.]
 [ 7. 11.]
 [ 2.  6.]
 [ 5.  9.]
 [ 8. 12.]
 [ 1.  5.]
 [ 5.  9.]]
