trial_id,mode,relpath_txt,n_agents,seq_len_T,xy_json,cell_json
3_12_case10_130,logic,logic/3_12_case10_130.txt,3,11,"[[6, 6], [1, 10], [4, 5], [5, 6], [1, 9], [5, 5], [4, 6], [1, 8], [6, 5], [3, 6], [1, 7], [7, 5], [2, 6], [1, 6], [8, 5], [1, 6], [1, 5], [9, 5], [1, 6], [1, 4], [10, 5], [1, 6], [1, 3], [11, 5], [1, 6], [1, 2], [12, 5], [1, 6], [1, 1], [12, 5], [1, 6], [1, 1], [12, 5]]","[125, 216, 99, 124, 192, 100, 123, 168, 101, 122, 144, 102, 121, 120, 103, 120, 96, 104, 120, 72, 105, 120, 48, 106, 120, 24, 107, 120, 0, 107, 120, 0, 107]"
3_12_case10_142,logic,logic/3_12_case10_142.txt,3,11,"[[6, 6], [2, 12], [1, 9], [5, 6], [2, 11], [2, 9], [4, 6], [2, 10], [3, 9], [3, 6], [2, 9], [4, 9], [2, 6], [2, 8], [5, 9], [1, 6], [2, 7], [6, 9], [1, 6], [2, 6], [7, 9], [1, 6], [2, 5], [8, 9], [1, 6], [2, 4], [9, 9], [1, 6], [2, 3], [10, 9], [1, 6], [2, 2], [11, 9]]","[125, 265, 192, 124, 241, 193, 123, 217, 194, 122, 193, 195, 121, 169, 196, 120, 145, 197, 120, 121, 198, 120, 97, 199, 120, 73, 200, 120, 49, 201, 120, 25, 202]"
3_12_case10_154,logic,logic/3_12_case10_154.txt,3,11,"[[6, 6], [12, 10], [12, 1], [5, 6], [12, 9], [12, 1], [4, 6], [12, 8], [12, 1], [3, 6], [12, 7], [12, 1], [2, 6], [12, 6], [12, 1], [1, 6], [12, 5], [12, 1], [1, 6], [12, 4], [12, 1], [1, 6], [12, 3], [12, 1], [1, 6], [12, 2], [12, 1], [1, 6], [12, 1], [12, 1], [1, 6], [12, 1], [12, 1]]","[125, 227, 11, 124, 203, 11, 123, 179, 11, 122, 155, 11, 121, 131, 11, 120, 107, 11, 120, 83, 11, 120, 59, 11, 120, 35, 11, 120, 11, 11, 120, 11, 11]"
3_12_case10_166,logic,logic/3_12_case10_166.txt,3,7,"[[6, 6], [12, 2], [10, 1], [5, 6], [12, 1], [11, 1], [4, 6], [12, 1], [12, 1], [3, 6], [12, 1], [12, 1], [2, 6], [12, 1], [12, 1], [1, 6], [12, 1], [12, 1], [1, 6], [12, 1], [12, 1]]","[125, 35, 9, 124, 11, 10, 123, 11, 11, 122, 11, 11, 121, 11, 11, 120, 11, 11, 120, 11, 11]"
3_12_case10_178,logic,logic/3_12_case10_178.txt,3,11,"[[6, 6], [12, 8], [2, 7], [5, 6], [12, 7], [3, 7], [4, 6], [12, 6], [4, 7], [3, 6], [12, 5], [5, 7], [2, 6], [12, 4], [6, 7], [1, 6], [12, 3], [7, 7], [1, 6], [12, 2], [8, 7], [1, 6], [12, 1], [9, 7], [1, 6], [12, 1], [10, 7], [1, 6], [12, 1], [11, 7], [1, 6], [12, 1], [12, 7]]","[125, 179, 145, 124, 155, 146, 123, 131, 147, 122, 107, 148, 121, 83, 149, 120, 59, 150, 120, 35, 151, 120, 11, 152, 120, 11, 153, 120, 11, 154, 120, 11, 155]"
3_12_case10_190,logic,logic/3_12_case10_190.txt,3,8,"[[6, 6], [9, 7], [11, 5], [5, 6], [9, 6], [12, 5], [4, 6], [9, 5], [12, 5], [3, 6], [9, 4], [12, 5], [2, 6], [9, 3], [12, 5], [1, 6], [9, 2], [12, 5], [1, 6], [9, 1], [12, 5], [1, 6], [9, 1], [12, 5]]","[125, 152, 106, 124, 128, 107, 123, 104, 107, 122, 80, 107, 121, 56, 107, 120, 32, 107, 120, 8, 107, 120, 8, 107]"
3_12_case10_202,logic,logic/3_12_case10_202.txt,3,7,"[[6, 6], [2, 2], [12, 11], [5, 6], [2, 1], [12, 11], [4, 6], [2, 1], [12, 11], [3, 6], [2, 1], [12, 11], [2, 6], [2, 1], [12, 11], [1, 6], [2, 1], [12, 11], [1, 6], [2, 1], [12, 11]]","[125, 25, 251, 124, 1, 251, 123, 1, 251, 122, 1, 251, 121, 1, 251, 120, 1, 251, 120, 1, 251]"
3_12_case10_214,logic,logic/3_12_case10_214.txt,3,8,"[[6, 6], [8, 1], [6, 8], [5, 6], [8, 1], [7, 8], [4, 6], [8, 1], [8, 8], [3, 6], [8, 1], [9, 8], [2, 6], [8, 1], [10, 8], [1, 6], [8, 1], [11, 8], [1, 6], [8, 1], [12, 8], [1, 6], [8, 1], [12, 8]]","[125, 7, 173, 124, 7, 174, 123, 7, 175, 122, 7, 176, 121, 7, 177, 120, 7, 178, 120, 7, 179, 120, 7, 179]"
3_12_case10_22,logic,logic/3_12_case10_22.txt,3,10,"[[6, 6], [9, 9], [10, 5], [5, 6], [9, 8], [11, 5], [4, 6], [9, 7], [12, 5], [3, 6], [9, 6], [12, 5], [2, 6], [9, 5], [12, 5], [1, 6], [9, 4], [12, 5], [1, 6], [9, 3], [12, 5], [1, 6], [9, 2], [12, 5], [1, 6], [9, 1], [12, 5], [1, 6], [9, 1], [12, 5]]","[125, 200, 105, 124, 176, 106, 123, 152, 107, 122, 128, 107, 121, 104, 107, 120, 80, 107, 120, 56, 107, 120, 32, 107, 120, 8, 107, 120, 8, 107]"
3_12_case10_226,logic,logic/3_12_case10_226.txt,3,11,"[[6, 6], [7, 7], [2, 11], [5, 6], [7, 6], [3, 11], [4, 6], [7, 5], [4, 11], [3, 6], [7, 4], [5, 11], [2, 6], [7, 3], [6, 11], [1, 6], [7, 2], [7, 11], [1, 6], [7, 1], [8, 11], [1, 6], [7, 1], [9, 11], [1, 6], [7, 1], [10, 11], [1, 6], [7, 1], [11, 11], [1, 6], [7, 1], [12, 11]]","[125, 150, 241, 124, 126, 242, 123, 102, 243, 122, 78, 244, 121, 54, 245, 120, 30, 246, 120, 6, 247, 120, 6, 248, 120, 6, 249, 120, 6, 250, 120, 6, 251]"
