trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
5_24_1,intermediate_case1,intermediate_case1/5_24_1.txt,5,C,"[[12, 12], [6, 17], [18, 21], [5, 1], [18, 5]]","[275, 389, 497, 4, 113]","[[13, 10], [6, 17], [18, 19], [3, 1], [17, 3]]","[228, 389, 449, 2, 64]","[[11, 12], [4, 15], [15, 19], [2, 3], [13, 3]]","[274, 339, 446, 49, 60]","[[12, 11], [4, 16], [16, 19], [1, 2], [13, 2]]","[251, 363, 447, 24, 36]"
5_24_10,intermediate_case1,intermediate_case1/5_24_10.txt,5,D,"[[16, 22], [4, 2], [14, 4], [21, 11], [12, 12]]","[519, 27, 85, 260, 275]","[[15, 21], [4, 2], [14, 4], [20, 10], [10, 12]]","[494, 27, 85, 235, 273]","[[15, 21], [2, 3], [13, 5], [19, 9], [8, 12]]","[494, 49, 108, 210, 271]","[[14, 20], [1, 3], [12, 4], [20, 9], [8, 11]]","[469, 48, 83, 211, 247]"
5_24_2,intermediate_case1,intermediate_case1/5_24_2.txt,5,C,"[[24, 10], [12, 12], [5, 3], [12, 18], [13, 10]]","[239, 275, 52, 419, 228]","[[24, 10], [13, 12], [7, 4], [13, 21], [15, 12]]","[239, 276, 78, 492, 278]","[[22, 10], [10, 11], [5, 3], [17, 24], [17, 13]]","[237, 249, 52, 568, 304]","[[23, 10], [9, 12], [5, 4], [16, 24], [16, 14]]","[238, 272, 76, 567, 327]"
5_24_3,intermediate_case1,intermediate_case1/5_24_3.txt,5,B,"[[1, 21], [14, 8], [12, 12], [23, 9], [13, 4]]","[480, 181, 275, 214, 84]","[[4, 21], [10, 9], [11, 13], [20, 11], [9, 6]]","[483, 201, 298, 259, 128]","[[1, 20], [14, 8], [12, 12], [22, 11], [12, 5]]","[456, 181, 275, 261, 107]","[[3, 22], [11, 9], [11, 14], [19, 10], [8, 6]]","[506, 202, 322, 234, 127]"
5_24_4,intermediate_case1,intermediate_case1/5_24_4.txt,5,D,"[[18, 13], [3, 12], [23, 8], [12, 12], [17, 11]]","[305, 266, 190, 275, 256]","[[16, 11], [1, 14], [21, 8], [11, 9], [16, 9]]","[255, 312, 188, 202, 207]","[[16, 12], [3, 13], [22, 9], [10, 9], [16, 9]]","[279, 290, 213, 201, 207]","[[17, 12], [3, 12], [23, 8], [10, 8], [17, 8]]","[280, 266, 190, 177, 184]"
5_24_5,intermediate_case1,intermediate_case1/5_24_5.txt,5,B,"[[9, 8], [19, 9], [18, 21], [2, 18], [12, 12]]","[176, 210, 497, 409, 275]","[[9, 9], [22, 8], [21, 21], [6, 23], [16, 14]]","[200, 189, 500, 533, 327]","[[10, 7], [22, 10], [21, 21], [4, 20], [14, 12]]","[153, 237, 500, 459, 277]","[[10, 9], [23, 9], [22, 22], [5, 22], [16, 14]]","[201, 214, 525, 508, 327]"
5_24_6,intermediate_case1,intermediate_case1/5_24_6.txt,5,D,"[[12, 12], [6, 3], [9, 11], [13, 24], [22, 13]]","[275, 53, 248, 564, 309]","[[9, 11], [7, 7], [8, 13], [10, 24], [20, 16]]","[248, 150, 295, 561, 379]","[[12, 8], [6, 7], [9, 11], [12, 23], [21, 16]]","[179, 149, 248, 539, 380]","[[13, 7], [7, 7], [10, 10], [13, 23], [22, 15]]","[156, 150, 225, 540, 357]"
5_24_7,intermediate_case1,intermediate_case1/5_24_7.txt,5,D,"[[6, 22], [12, 12], [10, 15], [18, 16], [23, 9]]","[509, 275, 345, 377, 214]","[[4, 22], [14, 14], [9, 17], [21, 17], [24, 10]]","[507, 325, 392, 404, 239]","[[7, 24], [16, 15], [11, 19], [19, 17], [23, 11]]","[558, 351, 442, 402, 262]","[[7, 23], [15, 15], [10, 18], [20, 16], [23, 10]]","[534, 350, 417, 379, 238]"
5_24_8,intermediate_case1,intermediate_case1/5_24_8.txt,5,D,"[[4, 21], [6, 6], [12, 12], [4, 9], [2, 20]]","[483, 125, 275, 195, 457]","[[2, 20], [6, 5], [11, 11], [4, 6], [3, 18]]","[457, 101, 250, 123, 410]","[[3, 20], [7, 2], [11, 9], [2, 10], [2, 20]]","[458, 30, 202, 217, 457]","[[2, 19], [8, 1], [11, 8], [1, 10], [1, 19]]","[433, 7, 178, 216, 432]"
5_24_9,intermediate_case1,intermediate_case1/5_24_9.txt,5,D,"[[7, 4], [4, 11], [6, 23], [12, 12], [5, 24]]","[78, 243, 533, 275, 556]","[[9, 6], [2, 11], [5, 24], [12, 12], [3, 24]]","[128, 241, 556, 275, 554]","[[9, 4], [2, 10], [4, 22], [12, 12], [2, 23]]","[80, 217, 507, 275, 529]","[[10, 4], [2, 11], [5, 23], [11, 13], [2, 24]]","[81, 241, 532, 298, 553]"
