trial_id,mode,case_type,seq_len_T,xy_json,cell_json
sim1_1,random,,15,"[[13, 13], [17, 18], [2, 23], [12, 13], [16, 18], [2, 24], [12, 14], [16, 18], [1, 24], [12, 14], [17, 18], [1, 24], [12, 15], [17, 18], [1, 24], [12, 16], [16, 18], [1, 23], [12, 17], [15, 18], [1, 22], [12, 17], [14, 18], [1, 22], [13, 17], [13, 18], [1, 22], [12, 17], [13, 19], [1, 22], [12, 17], [14, 19], [2, 22], [11, 17], [14, 18], [2, 22], [11, 17], [14, 17], [2, 23], [11, 17], [14, 17], [2, 22], [12, 17], [14, 17], [2, 22]]","[300, 424, 529, 299, 423, 553, 323, 423, 552, 323, 424, 552, 347, 424, 552, 371, 423, 528, 395, 422, 504, 395, 421, 504, 396, 420, 504, 395, 444, 504, 395, 445, 505, 394, 421, 505, 394, 397, 529, 394, 397, 505, 395, 397, 505]"
sim1_10,random,,15,"[[13, 13], [5, 16], [21, 13], [13, 12], [5, 16], [20, 13], [13, 11], [5, 16], [21, 13], [13, 12], [5, 16], [21, 13], [13, 12], [4, 16], [21, 13], [13, 12], [4, 15], [21, 12], [12, 12], [4, 15], [22, 12], [13, 12], [5, 15], [22, 12], [13, 12], [5, 16], [22, 12], [13, 12], [4, 16], [22, 12], [13, 12], [3, 16], [23, 12], [14, 12], [3, 17], [22, 12], [14, 12], [3, 17], [22, 11], [13, 12], [3, 18], [22, 12], [12, 12], [3, 18], [22, 12]]","[300, 364, 308, 276, 364, 307, 252, 364, 308, 276, 364, 308, 276, 363, 308, 276, 339, 284, 275, 339, 285, 276, 340, 285, 276, 364, 285, 276, 363, 285, 276, 362, 286, 277, 386, 285, 277, 386, 261, 276, 410, 285, 275, 410, 285]"
sim1_100,random,,15,"[[13, 13], [15, 11], [6, 7], [13, 12], [15, 11], [6, 7], [14, 12], [15, 11], [5, 7], [13, 12], [14, 11], [5, 7], [13, 12], [13, 11], [5, 7], [13, 11], [12, 11], [5, 7], [14, 11], [12, 11], [5, 7], [15, 11], [13, 11], [5, 7], [15, 11], [13, 12], [5, 7], [15, 11], [13, 12], [5, 7], [14, 11], [12, 12], [5, 7], [14, 11], [12, 11], [6, 7], [14, 11], [12, 10], [6, 7], [15, 11], [12, 10], [7, 7], [15, 11], [12, 11], [7, 7]]","[300, 254, 149, 276, 254, 149, 277, 254, 148, 276, 253, 148, 276, 252, 148, 252, 251, 148, 253, 251, 148, 254, 252, 148, 254, 276, 148, 254, 276, 148, 253, 275, 148, 253, 251, 149, 253, 227, 149, 254, 227, 150, 254, 251, 150]"
sim1_1000,random,,15,"[[13, 13], [5, 19], [17, 8], [13, 14], [5, 19], [17, 8], [13, 14], [5, 19], [17, 9], [13, 15], [5, 19], [17, 9], [13, 15], [5, 19], [18, 9], [13, 15], [5, 18], [18, 9], [13, 15], [4, 18], [18, 9], [14, 15], [3, 18], [17, 9], [15, 15], [3, 17], [17, 10], [15, 15], [3, 17], [17, 9], [15, 15], [3, 17], [17, 8], [15, 15], [2, 17], [17, 8], [16, 15], [2, 17], [17, 8], [16, 15], [2, 17], [17, 9], [16, 15], [1, 17], [18, 9]]","[300, 436, 184, 324, 436, 184, 324, 436, 208, 348, 436, 208, 348, 436, 209, 348, 412, 209, 348, 411, 209, 349, 410, 208, 350, 386, 232, 350, 386, 208, 350, 386, 184, 350, 385, 184, 351, 385, 184, 351, 385, 208, 351, 384, 209]"
sim1_1001,random,,15,"[[20, 15], [13, 13], [3, 14], [20, 16], [13, 14], [2, 14], [19, 16], [13, 14], [2, 14], [19, 16], [14, 14], [2, 13], [19, 16], [13, 14], [3, 13], [20, 16], [12, 14], [3, 14], [20, 16], [13, 14], [3, 14], [20, 16], [13, 14], [2, 14], [20, 15], [13, 14], [2, 14], [21, 15], [13, 14], [2, 14], [20, 15], [13, 14], [2, 13], [20, 16], [13, 15], [3, 13], [19, 16], [14, 15], [3, 14], [19, 15], [14, 15], [3, 14], [18, 15], [14, 15], [3, 14]]","[355, 300, 314, 379, 324, 313, 378, 324, 313, 378, 325, 289, 378, 324, 290, 379, 323, 314, 379, 324, 314, 379, 324, 313, 355, 324, 313, 356, 324, 313, 355, 324, 289, 379, 348, 290, 378, 349, 314, 354, 349, 314, 353, 349, 314]"
sim1_1002,random,,15,"[[22, 13], [1, 21], [13, 13], [22, 13], [1, 21], [13, 13], [22, 13], [1, 21], [13, 12], [21, 13], [2, 21], [13, 12], [21, 12], [2, 21], [13, 12], [21, 13], [2, 21], [13, 12], [20, 13], [2, 20], [14, 12], [20, 14], [3, 20], [14, 12], [20, 13], [3, 21], [15, 12], [20, 12], [2, 21], [15, 11], [20, 12], [3, 21], [15, 11], [21, 12], [4, 21], [15, 12], [21, 11], [4, 21], [14, 12], [21, 10], [4, 21], [14, 13], [20, 10], [4, 22], [15, 13]]","[309, 480, 300, 309, 480, 300, 309, 480, 276, 308, 481, 276, 284, 481, 276, 308, 481, 276, 307, 457, 277, 331, 458, 277, 307, 482, 278, 283, 481, 254, 283, 482, 254, 284, 483, 278, 260, 483, 277, 236, 483, 301, 235, 507, 302]"
sim1_1003,random,,15,"[[7, 7], [12, 16], [14, 1], [7, 7], [11, 16], [14, 2], [7, 7], [10, 16], [14, 2], [7, 7], [10, 16], [14, 1], [7, 7], [10, 16], [13, 1], [7, 6], [10, 16], [12, 1], [7, 5], [10, 15], [12, 1], [7, 6], [10, 16], [12, 2], [7, 5], [10, 16], [12, 3], [7, 6], [10, 16], [12, 3], [7, 6], [10, 16], [12, 2], [7, 6], [10, 16], [12, 3], [8, 6], [10, 16], [12, 2], [7, 6], [10, 16], [12, 2], [6, 6], [10, 16], [13, 2]]","[150, 371, 13, 150, 370, 37, 150, 369, 37, 150, 369, 13, 150, 369, 12, 126, 369, 11, 102, 345, 11, 126, 369, 35, 102, 369, 59, 126, 369, 59, 126, 369, 35, 126, 369, 59, 127, 369, 35, 126, 369, 35, 125, 369, 36]"
sim1_1004,random,,15,"[[9, 3], [7, 7], [9, 4], [9, 4], [7, 6], [10, 4], [9, 4], [7, 5], [10, 4], [8, 4], [8, 5], [10, 5], [8, 4], [8, 5], [9, 5], [8, 4], [8, 5], [9, 6], [8, 4], [8, 5], [9, 6], [8, 3], [8, 4], [9, 6], [8, 3], [8, 4], [10, 6], [8, 3], [8, 4], [10, 6], [9, 3], [7, 4], [9, 6], [9, 3], [6, 4], [9, 5], [9, 3], [6, 4], [9, 4], [8, 3], [5, 4], [9, 4], [8, 3], [4, 4], [8, 4]]","[56, 150, 80, 80, 126, 81, 80, 102, 81, 79, 103, 105, 79, 103, 104, 79, 103, 128, 79, 103, 128, 55, 79, 128, 55, 79, 129, 55, 79, 129, 56, 78, 128, 56, 77, 104, 56, 77, 80, 55, 76, 80, 55, 75, 79]"
sim1_1005,random,,15,"[[24, 8], [12, 7], [13, 13], [24, 8], [12, 7], [13, 12], [24, 8], [12, 7], [12, 12], [24, 8], [11, 7], [12, 13], [24, 8], [11, 7], [11, 13], [24, 8], [10, 7], [11, 13], [23, 8], [9, 7], [11, 12], [24, 8], [9, 7], [11, 12], [24, 8], [9, 7], [12, 12], [24, 8], [10, 7], [12, 13], [24, 8], [10, 6], [12, 13], [24, 8], [11, 6], [12, 13], [24, 8], [11, 6], [12, 12], [24, 8], [11, 6], [12, 13], [24, 8], [11, 6], [12, 14]]","[191, 155, 300, 191, 155, 276, 191, 155, 275, 191, 154, 299, 191, 154, 298, 191, 153, 298, 190, 152, 274, 191, 152, 274, 191, 152, 275, 191, 153, 299, 191, 129, 299, 191, 130, 299, 191, 130, 275, 191, 130, 299, 191, 130, 323]"
sim1_1006,random,,15,"[[13, 13], [6, 11], [1, 23], [13, 13], [6, 11], [1, 22], [13, 14], [6, 11], [1, 23], [13, 14], [6, 10], [1, 23], [13, 14], [6, 11], [1, 23], [13, 14], [6, 11], [1, 22], [14, 14], [6, 11], [1, 22], [14, 15], [6, 12], [1, 23], [15, 15], [6, 12], [1, 23], [15, 15], [6, 12], [1, 24], [15, 15], [6, 11], [1, 24], [16, 15], [7, 11], [1, 24], [16, 15], [7, 11], [2, 24], [15, 15], [6, 11], [1, 24], [15, 16], [6, 11], [1, 24]]","[300, 245, 528, 300, 245, 504, 324, 245, 528, 324, 221, 528, 324, 245, 528, 324, 245, 504, 325, 245, 504, 349, 269, 528, 350, 269, 528, 350, 269, 552, 350, 245, 552, 351, 246, 552, 351, 246, 553, 350, 245, 552, 374, 245, 552]"
