trial_id,mode,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
sim1_case1000_1,logic,D,"[[24, 12], [23, 1], [5, 23]]","[287, 22, 532]","[[22, 13], [24, 2], [4, 24]]","[309, 47, 555]","[[23, 14], [24, 2], [4, 24]]","[334, 47, 555]","[[24, 13], [24, 1], [5, 24]]","[311, 23, 556]"
sim1_case1001_1,logic,D,"[[14, 23], [23, 4], [23, 13]]","[541, 94, 310]","[[14, 23], [22, 5], [23, 13]]","[541, 117, 310]","[[13, 23], [22, 4], [23, 13]]","[540, 93, 310]","[[13, 24], [24, 5], [24, 13]]","[564, 119, 311]"
sim1_case1002_1,logic,C,"[[18, 6], [10, 19], [12, 9]]","[137, 441, 203]","[[12, 2], [3, 13], [7, 3]]","[35, 290, 54]","[[12, 1], [4, 12], [7, 2]]","[11, 267, 30]","[[17, 6], [11, 18], [13, 7]]","[136, 418, 156]"
sim1_case1003_1,logic,A,"[[1, 13], [24, 1], [7, 1]]","[288, 23, 6]","[[2, 12], [24, 2], [7, 2]]","[265, 47, 30]","[[2, 12], [23, 2], [8, 1]]","[265, 46, 7]","[[2, 14], [24, 2], [8, 2]]","[313, 47, 31]"
sim1_case1004_1,logic,B,"[[12, 1], [1, 20], [23, 4]]","[11, 456, 94]","[[13, 1], [1, 21], [24, 5]]","[12, 480, 119]","[[13, 1], [2, 21], [23, 5]]","[12, 481, 118]","[[14, 3], [1, 22], [24, 6]]","[61, 504, 143]"
sim1_case1005_1,logic,B,"[[14, 2], [23, 19], [2, 20]]","[37, 454, 457]","[[13, 1], [24, 18], [1, 20]]","[12, 431, 456]","[[12, 1], [23, 19], [2, 21]]","[11, 454, 481]","[[12, 3], [23, 18], [1, 21]]","[59, 430, 480]"
sim1_case1006_1,logic,C,"[[2, 13], [16, 4], [23, 15]]","[289, 87, 358]","[[2, 12], [14, 4], [23, 14]]","[265, 85, 334]","[[1, 13], [15, 4], [24, 15]]","[288, 86, 359]","[[2, 13], [15, 4], [23, 14]]","[289, 86, 334]"
sim1_case1007_1,logic,A,"[[24, 13], [10, 1], [1, 5]]","[311, 9, 96]","[[24, 12], [9, 1], [1, 6]]","[287, 8, 120]","[[22, 14], [9, 1], [2, 5]]","[333, 8, 97]","[[23, 14], [10, 2], [1, 6]]","[334, 33, 120]"
sim1_case1008_1,logic,B,"[[23, 12], [2, 5], [11, 1]]","[286, 97, 10]","[[24, 13], [1, 4], [10, 1]]","[311, 72, 9]","[[24, 14], [2, 5], [11, 3]]","[335, 97, 58]","[[23, 14], [1, 5], [11, 3]]","[334, 96, 58]"
sim1_case1009_1,logic,C,"[[3, 14], [2, 19], [13, 24]]","[314, 433, 564]","[[2, 14], [2, 18], [15, 24]]","[313, 409, 566]","[[1, 13], [1, 18], [14, 24]]","[288, 408, 565]","[[1, 13], [2, 19], [15, 23]]","[288, 433, 542]"
