trial_id,mode,relpath_txt,n_agents,correct,choiceA_xy,choiceA_cell,choiceB_xy,choiceB_cell,choiceC_xy,choiceC_cell,choiceD_xy,choiceD_cell
3_12_1000,intermediate_case2,intermediate_case2/3_12_1000.txt,3,D,"[[6, 6], [10, 12], [1, 9]]","[125, 273, 192]","[[4, 6], [8, 10], [6, 8]]","[123, 223, 173]","[[6, 5], [9, 11], [8, 8]]","[101, 248, 175]","[[6, 4], [8, 11], [7, 8]]","[77, 247, 174]"
3_12_101,intermediate_case2,intermediate_case2/3_12_101.txt,3,D,"[[8, 6], [6, 6], [6, 4]]","[127, 125, 77]","[[7, 8], [10, 7], [9, 8]]","[174, 153, 176]","[[6, 7], [9, 7], [8, 7]]","[149, 152, 151]","[[7, 7], [9, 8], [8, 8]]","[150, 176, 175]"
3_12_102,intermediate_case2,intermediate_case2/3_12_102.txt,3,A,"[[3, 2], [1, 12], [2, 7]]","[26, 264, 145]","[[8, 5], [2, 11], [6, 6]]","[103, 241, 125]","[[8, 3], [4, 12], [6, 8]]","[55, 267, 173]","[[4, 3], [2, 11], [3, 8]]","[51, 241, 170]"
3_12_103,intermediate_case2,intermediate_case2/3_12_103.txt,3,A,"[[3, 6], [5, 5], [4, 6]]","[122, 100, 123]","[[6, 6], [5, 2], [5, 6]]","[125, 28, 124]","[[4, 5], [7, 2], [6, 4]]","[99, 30, 77]","[[4, 6], [6, 4], [5, 5]]","[123, 77, 100]"
3_12_104,intermediate_case2,intermediate_case2/3_12_104.txt,3,B,"[[7, 4], [6, 6], [8, 1]]","[78, 125, 7]","[[7, 2], [6, 3], [7, 3]]","[30, 53, 54]","[[9, 1], [5, 4], [7, 3]]","[8, 76, 54]","[[8, 2], [7, 4], [8, 3]]","[31, 78, 55]"
3_12_105,intermediate_case2,intermediate_case2/3_12_105.txt,3,A,"[[11, 7], [11, 8], [11, 8]]","[154, 178, 178]","[[12, 12], [8, 8], [6, 6]]","[275, 175, 125]","[[11, 12], [9, 7], [10, 10]]","[274, 152, 225]","[[11, 8], [11, 7], [11, 8]]","[178, 154, 178]"
3_12_106,intermediate_case2,intermediate_case2/3_12_106.txt,3,C,"[[6, 6], [9, 7], [10, 3]]","[125, 152, 57]","[[6, 8], [6, 9], [6, 8]]","[173, 197, 173]","[[4, 8], [1, 10], [3, 9]]","[171, 216, 194]","[[3, 8], [2, 9], [3, 9]]","[170, 193, 194]"
3_12_107,intermediate_case2,intermediate_case2/3_12_107.txt,3,A,"[[8, 2], [1, 8], [5, 5]]","[31, 168, 100]","[[10, 3], [6, 6], [11, 1]]","[57, 125, 10]","[[11, 3], [5, 7], [8, 5]]","[58, 148, 103]","[[9, 3], [2, 7], [6, 5]]","[56, 145, 101]"
3_12_108,intermediate_case2,intermediate_case2/3_12_108.txt,3,C,"[[5, 7], [7, 1], [6, 6]]","[148, 6, 125]","[[5, 5], [6, 2], [6, 4]]","[100, 29, 77]","[[4, 4], [5, 2], [5, 3]]","[75, 28, 52]","[[5, 4], [5, 1], [5, 3]]","[76, 4, 52]"
3_12_109,intermediate_case2,intermediate_case2/3_12_109.txt,3,C,"[[6, 6], [11, 6], [9, 12]]","[125, 130, 272]","[[6, 10], [8, 5], [7, 8]]","[221, 103, 174]","[[10, 11], [5, 5], [8, 8]]","[249, 100, 175]","[[10, 10], [6, 5], [8, 8]]","[225, 101, 175]"
3_12_11,intermediate_case2,intermediate_case2/3_12_11.txt,3,A,"[[12, 4], [6, 4], [10, 4]]","[83, 77, 81]","[[9, 5], [6, 6], [6, 12]]","[104, 125, 269]","[[9, 6], [9, 5], [9, 7]]","[128, 104, 152]","[[12, 5], [7, 5], [10, 5]]","[107, 102, 105]"
3_12_110,intermediate_case2,intermediate_case2/3_12_110.txt,3,D,"[[12, 11], [6, 6], [1, 6]]","[251, 125, 120]","[[12, 10], [4, 11], [6, 11]]","[227, 243, 245]","[[12, 8], [7, 11], [10, 10]]","[179, 246, 225]","[[11, 8], [7, 10], [9, 9]]","[178, 222, 200]"
3_12_111,intermediate_case2,intermediate_case2/3_12_111.txt,3,C,"[[5, 8], [4, 9], [6, 6]]","[172, 195, 125]","[[3, 7], [7, 8], [5, 8]]","[146, 174, 172]","[[2, 11], [6, 7], [4, 9]]","[241, 149, 195]","[[3, 11], [7, 6], [5, 9]]","[242, 126, 196]"
3_12_112,intermediate_case2,intermediate_case2/3_12_112.txt,3,A,"[[9, 9], [6, 1], [8, 5]]","[200, 5, 103]","[[6, 6], [9, 3], [5, 5]]","[125, 56, 100]","[[8, 6], [9, 4], [9, 5]]","[127, 80, 104]","[[10, 8], [6, 1], [8, 5]]","[177, 5, 103]"
3_12_113,intermediate_case2,intermediate_case2/3_12_113.txt,3,A,"[[1, 7], [1, 5], [2, 6]]","[144, 96, 121]","[[3, 2], [6, 6], [12, 5]]","[26, 125, 107]","[[2, 4], [5, 5], [7, 5]]","[73, 100, 102]","[[1, 6], [2, 4], [3, 5]]","[120, 73, 98]"
3_12_114,intermediate_case2,intermediate_case2/3_12_114.txt,3,D,"[[2, 9], [5, 4], [6, 6]]","[193, 76, 125]","[[1, 8], [5, 5], [3, 7]]","[168, 100, 146]","[[2, 12], [5, 4], [4, 8]]","[265, 76, 171]","[[3, 11], [5, 5], [4, 8]]","[242, 100, 171]"
3_12_115,intermediate_case2,intermediate_case2/3_12_115.txt,3,A,"[[4, 9], [9, 2], [7, 6]]","[195, 32, 126]","[[6, 6], [8, 2], [6, 5]]","[125, 31, 101]","[[4, 6], [9, 2], [7, 4]]","[123, 32, 78]","[[4, 8], [9, 3], [7, 6]]","[171, 56, 126]"
3_12_116,intermediate_case2,intermediate_case2/3_12_116.txt,3,B,"[[6, 7], [6, 6], [4, 12]]","[149, 125, 267]","[[7, 5], [8, 3], [8, 4]]","[102, 55, 79]","[[7, 6], [9, 4], [8, 7]]","[126, 80, 151]","[[6, 6], [7, 3], [7, 5]]","[125, 54, 102]"
3_12_117,intermediate_case2,intermediate_case2/3_12_117.txt,3,A,"[[8, 9], [3, 4], [6, 7]]","[199, 74, 149]","[[7, 7], [5, 3], [6, 6]]","[150, 52, 125]","[[7, 9], [5, 4], [6, 7]]","[198, 76, 149]","[[9, 9], [3, 5], [6, 7]]","[200, 98, 149]"
3_12_118,intermediate_case2,intermediate_case2/3_12_118.txt,3,A,"[[10, 5], [7, 3], [9, 4]]","[105, 54, 80]","[[6, 6], [8, 3], [12, 8]]","[125, 55, 179]","[[11, 4], [9, 3], [10, 4]]","[82, 56, 81]","[[11, 6], [8, 3], [10, 5]]","[130, 55, 105]"
3_12_119,intermediate_case2,intermediate_case2/3_12_119.txt,3,D,"[[5, 8], [6, 6], [9, 6]]","[172, 125, 128]","[[5, 7], [7, 6], [6, 7]]","[148, 126, 149]","[[3, 4], [6, 6], [5, 5]]","[74, 125, 100]","[[3, 5], [5, 6], [4, 6]]","[98, 124, 123]"
3_12_12,intermediate_case2,intermediate_case2/3_12_12.txt,3,C,"[[5, 2], [12, 4], [6, 6]]","[28, 83, 125]","[[1, 1], [11, 3], [6, 2]]","[0, 58, 29]","[[1, 2], [12, 2], [7, 2]]","[24, 35, 30]","[[2, 2], [12, 3], [7, 3]]","[25, 59, 54]"
3_12_120,intermediate_case2,intermediate_case2/3_12_120.txt,3,A,"[[3, 8], [9, 7], [6, 8]]","[170, 152, 173]","[[6, 9], [7, 10], [6, 6]]","[197, 222, 125]","[[4, 11], [7, 6], [6, 9]]","[243, 126, 197]","[[4, 9], [8, 6], [6, 8]]","[195, 127, 173]"
3_12_121,intermediate_case2,intermediate_case2/3_12_121.txt,3,D,"[[6, 6], [6, 5], [10, 12]]","[125, 101, 273]","[[6, 7], [6, 10], [6, 9]]","[149, 221, 197]","[[9, 9], [4, 10], [7, 10]]","[200, 219, 222]","[[10, 8], [4, 11], [7, 10]]","[177, 243, 222]"
3_12_122,intermediate_case2,intermediate_case2/3_12_122.txt,3,A,"[[6, 12], [9, 4], [8, 9]]","[269, 80, 199]","[[9, 11], [6, 6], [4, 4]]","[248, 125, 75]","[[7, 11], [6, 6], [7, 9]]","[246, 125, 198]","[[6, 12], [8, 4], [7, 8]]","[269, 79, 174]"
3_12_123,intermediate_case2,intermediate_case2/3_12_123.txt,3,D,"[[5, 3], [3, 1], [6, 6]]","[52, 2, 125]","[[2, 1], [1, 3], [2, 2]]","[1, 48, 25]","[[2, 1], [1, 4], [2, 3]]","[1, 72, 49]","[[2, 1], [2, 3], [2, 2]]","[1, 49, 25]"
3_12_124,intermediate_case2,intermediate_case2/3_12_124.txt,3,D,"[[6, 6], [5, 7], [2, 1]]","[125, 148, 1]","[[4, 9], [4, 9], [4, 6]]","[195, 195, 123]","[[3, 10], [6, 9], [5, 10]]","[218, 197, 220]","[[2, 9], [7, 8], [5, 9]]","[193, 174, 196]"
3_12_125,intermediate_case2,intermediate_case2/3_12_125.txt,3,C,"[[1, 12], [6, 6], [9, 11]]","[264, 125, 248]","[[1, 10], [5, 5], [4, 8]]","[216, 100, 171]","[[1, 10], [4, 3], [3, 7]]","[216, 51, 146]","[[2, 9], [5, 4], [4, 7]]","[193, 76, 147]"
3_12_126,intermediate_case2,intermediate_case2/3_12_126.txt,3,C,"[[6, 5], [3, 4], [6, 6]]","[101, 74, 125]","[[8, 5], [5, 3], [7, 4]]","[103, 52, 78]","[[8, 7], [5, 4], [7, 6]]","[151, 76, 126]","[[7, 6], [5, 5], [6, 6]]","[126, 100, 125]"
3_12_127,intermediate_case2,intermediate_case2/3_12_127.txt,3,C,"[[6, 6], [10, 10], [8, 8]]","[125, 225, 175]","[[3, 7], [9, 10], [6, 9]]","[146, 224, 197]","[[5, 8], [9, 10], [7, 9]]","[172, 224, 198]","[[4, 7], [10, 10], [7, 9]]","[147, 225, 198]"
3_12_129,intermediate_case2,intermediate_case2/3_12_129.txt,3,B,"[[11, 2], [3, 9], [6, 6]]","[34, 194, 125]","[[11, 2], [8, 7], [10, 5]]","[34, 151, 105]","[[12, 4], [5, 9], [9, 7]]","[83, 196, 152]","[[10, 1], [7, 8], [9, 4]]","[9, 174, 80]"
3_12_13,intermediate_case2,intermediate_case2/3_12_13.txt,3,A,"[[10, 8], [10, 2], [10, 5]]","[177, 33, 105]","[[6, 6], [11, 4], [1, 8]]","[125, 82, 168]","[[7, 8], [10, 4], [6, 6]]","[174, 81, 125]","[[11, 7], [10, 3], [10, 5]]","[154, 57, 105]"
3_12_131,intermediate_case2,intermediate_case2/3_12_131.txt,3,B,"[[2, 3], [6, 6], [4, 6]]","[49, 125, 123]","[[5, 4], [2, 9], [4, 7]]","[76, 193, 147]","[[4, 3], [4, 9], [4, 6]]","[51, 195, 123]","[[5, 5], [3, 8], [4, 7]]","[100, 170, 147]"
3_12_133,intermediate_case2,intermediate_case2/3_12_133.txt,3,B,"[[6, 6], [3, 1], [12, 10]]","[125, 2, 227]","[[3, 10], [2, 1], [3, 5]]","[218, 1, 98]","[[6, 7], [3, 3], [7, 5]]","[149, 50, 102]","[[4, 9], [1, 1], [3, 5]]","[195, 0, 98]"
3_12_134,intermediate_case2,intermediate_case2/3_12_134.txt,3,C,"[[3, 4], [6, 6], [9, 11]]","[74, 125, 248]","[[1, 5], [7, 6], [4, 6]]","[96, 126, 123]","[[1, 5], [5, 5], [3, 5]]","[96, 100, 98]","[[2, 4], [4, 4], [3, 4]]","[73, 75, 74]"
3_12_135,intermediate_case2,intermediate_case2/3_12_135.txt,3,C,"[[1, 1], [12, 2], [6, 6]]","[0, 35, 125]","[[1, 4], [8, 2], [4, 3]]","[72, 31, 51]","[[3, 2], [9, 1], [6, 1]]","[26, 8, 5]","[[3, 3], [9, 1], [6, 2]]","[50, 8, 29]"
