maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents,move_type
1,8,000,0,S,0,0,,,rulemap
2,7,000,0,A,0,0,,,rulemap
3,9,000,0,B,0,0,,,rulemap
4,8,000,0,S,0,0,,,rulemap
5,9,000,0,A,0,0,,,rulemap
6,10,000,0,B,0,0,,,rulemap
7,10,000,0,S,0,0,,,rulemap
8,8,000,0,A,0,0,,,rulemap
9,10,000,0,B,0,0,,,rulemap
10,10,000,0,S,0,0,,,rulemap
11,7,000,0,A,0,0,,,rulemap
12,10,000,0,B,0,0,,,rulemap
13,10,000,0,S,0,0,,,rulemap
14,7,000,0,A,0,0,,,rulemap
15,7,000,0,B,0,0,,,rulemap
16,10,000,0,S,0,0,,,rulemap
17,8,000,0,A,0,0,,,rulemap
18,9,000,0,B,0,0,,,rulemap
19,10,000,0,S,0,0,,,rulemap
20,10,000,0,A,0,0,,,rulemap
21,8,000,0,B,0,0,,,rulemap
22,10,000,0,S,0,0,,,rulemap
23,10,000,0,A,0,0,,,rulemap
24,10,000,0,B,0,0,,,rulemap
25,9,000,0,S,0,0,,,rulemap
26,10,000,0,A,0,0,,,rulemap
27,9,000,0,B,0,0,,,rulemap
28,7,000,0,S,0,0,,,rulemap
29,10,000,0,A,0,0,,,rulemap
30,10,000,0,B,0,0,,,rulemap
31,8,000,0,S,0,0,,,rulemap
32,8,000,0,A,0,0,,,rulemap
33,7,000,0,B,0,0,,,rulemap
34,10,000,0,S,0,0,,,rulemap
35,9,000,0,A,0,0,,,rulemap
36,9,000,0,B,0,0,,,rulemap
37,6,000,0,S,0,0,,,rulemap
38,10,000,0,A,0,0,,,rulemap
39,8,000,0,B,0,0,,,rulemap
40,10,000,0,S,0,0,,,rulemap
41,9,000,0,A,0,0,,,rulemap
42,10,000,0,B,0,0,,,rulemap
43,8,000,0,S,0,0,,,rulemap
44,9,000,0,A,0,0,,,rulemap
45,9,000,0,B,0,0,,,rulemap
46,9,000,0,S,0,0,,,rulemap
47,8,000,0,A,0,0,,,rulemap
48,9,000,0,B,0,0,,,rulemap
49,9,000,0,S,0,0,,,rulemap
50,8,000,0,A,0,0,,,rulemap
51,10,000,0,B,0,0,,,rulemap
52,10,000,0,S,0,0,,,rulemap
53,8,000,0,A,0,0,,,rulemap
54,10,000,0,B,0,0,,,rulemap
55,9,000,0,S,0,0,,,rulemap
56,10,000,0,A,0,0,,,rulemap
57,8,000,0,B,0,0,,,rulemap
58,8,000,0,S,0,0,,,rulemap
59,10,000,0,A,0,0,,,rulemap
60,10,000,0,B,0,0,,,rulemap
61,10,000,0,S,0,0,,,rulemap
62,10,000,0,A,0,0,,,rulemap
63,10,000,0,B,0,0,,,rulemap
64,7,000,0,S,0,0,,,rulemap
65,9,000,0,A,0,0,,,rulemap
66,8,000,0,B,0,0,,,rulemap
67,10,000,0,S,0,0,,,rulemap
68,10,000,0,A,0,0,,,rulemap
69,10,000,0,B,0,0,,,rulemap
70,10,000,0,S,0,0,,,rulemap
71,10,000,0,A,0,0,,,rulemap
72,7,000,0,B,0,0,,,rulemap
73,7,000,0,S,0,0,,,rulemap
74,8,000,0,A,0,0,,,rulemap
75,9,000,0,B,0,0,,,rulemap
76,7,000,0,S,0,0,,,rulemap
77,10,000,0,A,0,0,,,rulemap
78,10,000,0,B,0,0,,,rulemap
79,10,000,0,S,0,0,,,rulemap
80,10,000,0,A,0,0,,,rulemap
81,8,000,0,B,0,0,,,rulemap
82,10,000,0,S,0,0,,,rulemap
83,9,000,0,A,0,0,,,rulemap
84,8,000,0,B,0,0,,,rulemap
85,9,000,0,S,0,0,,,rulemap
86,10,000,0,A,0,0,,,rulemap
87,8,000,0,B,0,0,,,rulemap
88,8,000,0,S,0,0,,,rulemap
89,10,000,0,A,0,0,,,rulemap
90,9,000,0,B,0,0,,,rulemap
91,8,000,0,S,0,0,,,rulemap
92,9,000,0,A,0,0,,,rulemap
93,10,000,0,B,0,0,,,rulemap
94,10,000,0,S,0,0,,,rulemap
95,9,000,0,A,0,0,,,rulemap
96,7,000,0,B,0,0,,,rulemap
97,9,000,0,S,0,0,,,rulemap
98,10,000,0,A,0,0,,,rulemap
99,8,000,0,B,0,0,,,rulemap
100,10,000,0,S,0,0,,,rulemap
101,10,000,0,A,0,0,,,rulemap
102,9,000,0,B,0,0,,,rulemap
103,10,000,0,S,0,0,,,rulemap
104,10,000,0,A,0,0,,,rulemap
105,8,000,0,B,0,0,,,rulemap
106,9,000,0,S,0,0,,,rulemap
107,7,000,0,A,0,0,,,rulemap
108,9,000,0,B,0,0,,,rulemap
109,8,000,0,S,0,0,,,rulemap
110,10,000,0,A,0,0,,,rulemap
111,8,000,0,B,0,0,,,rulemap
112,9,000,0,S,0,0,,,rulemap
113,9,000,0,A,0,0,,,rulemap
114,7,000,0,B,0,0,,,rulemap
115,6,000,0,S,0,0,,,rulemap
116,10,000,0,A,0,0,,,rulemap
117,9,000,0,B,0,0,,,rulemap
118,8,000,0,S,0,0,,,rulemap
119,10,000,0,A,0,0,,,rulemap
120,7,000,0,B,0,0,,,rulemap
121,8,000,0,S,0,0,,,rulemap
122,9,000,0,A,0,0,,,rulemap
123,9,000,0,B,0,0,,,rulemap
124,10,000,0,S,0,0,,,rulemap
125,8,000,0,A,0,0,,,rulemap
126,8,000,0,B,0,0,,,rulemap
127,10,000,0,S,0,0,,,rulemap
128,9,000,0,A,0,0,,,rulemap
129,10,000,0,B,0,0,,,rulemap
130,10,000,0,S,0,0,,,rulemap
131,7,000,0,A,0,0,,,rulemap
132,10,000,0,B,0,0,,,rulemap
133,7,000,0,S,0,0,,,rulemap
134,9,000,0,A,0,0,,,rulemap
135,7,000,0,B,0,0,,,rulemap
136,8,000,0,S,0,0,,,rulemap
137,10,000,0,A,0,0,,,rulemap
138,9,000,0,B,0,0,,,rulemap
139,9,000,0,S,0,0,,,rulemap
140,10,000,0,A,0,0,,,rulemap
141,8,000,0,B,0,0,,,rulemap
142,9,000,0,S,0,0,,,rulemap
143,7,000,0,A,0,0,,,rulemap
144,10,000,0,B,0,0,,,rulemap
145,7,000,0,S,0,0,,,rulemap
146,8,000,0,A,0,0,,,rulemap
147,7,000,0,B,0,0,,,rulemap
148,10,000,0,S,0,0,,,rulemap
149,7,000,0,A,0,0,,,rulemap
150,10,000,0,B,0,0,,,rulemap
151,10,000,0,S,0,0,,,rulemap
152,8,000,0,A,0,0,,,rulemap
153,10,000,0,B,0,0,,,rulemap
154,7,000,0,S,0,0,,,rulemap
155,8,000,0,A,0,0,,,rulemap
156,8,000,0,B,0,0,,,rulemap
157,10,000,0,S,0,0,,,rulemap
158,9,000,0,A,0,0,,,rulemap
159,9,000,0,B,0,0,,,rulemap
160,10,000,0,S,0,0,,,rulemap
161,10,000,0,A,0,0,,,rulemap
162,9,000,0,B,0,0,,,rulemap
163,8,000,0,S,0,0,,,rulemap
164,10,000,0,A,0,0,,,rulemap
