Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     A      #     #
#     #     C      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #  B         #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 3. 12.]
 [ 6.  7.]
 [ 7.  5.]
 [ 4. 12.]
 [ 6.  8.]
 [ 6.  5.]
 [ 3. 12.]
 [ 5.  9.]
 [ 7.  4.]
 [ 2. 12.]
 [ 5.  8.]
 [ 8.  5.]
 [ 2. 12.]
 [ 5.  9.]
 [ 7.  5.]
 [ 2. 12.]
 [ 5.  9.]
 [ 6.  5.]
 [ 3. 12.]
 [ 5.  9.]
 [ 7.  4.]
 [ 2. 11.]
 [ 5.  8.]
 [ 6.  4.]
 [ 3. 10.]
 [ 5.  7.]
 [ 6.  5.]
 [ 4. 11.]
 [ 5.  8.]
 [ 7.  4.]
 [ 3. 11.]
 [ 5.  8.]]
