Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #  B         #     #
#     #C           #     #
#     #            #     #
#     #     A      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[6. 6.]
 [3. 3.]
 [1. 4.]
 [7. 5.]
 [2. 4.]
 [2. 5.]
 [7. 4.]
 [1. 5.]
 [3. 5.]
 [8. 4.]
 [2. 5.]
 [4. 5.]
 [7. 5.]
 [3. 4.]
 [5. 5.]
 [8. 5.]
 [3. 3.]
 [6. 4.]
 [8. 4.]
 [2. 2.]
 [5. 3.]
 [7. 3.]
 [1. 2.]
 [4. 3.]
 [6. 2.]
 [1. 1.]
 [3. 2.]
 [7. 2.]
 [2. 1.]
 [4. 2.]
 [7. 3.]
 [3. 1.]
 [5. 2.]]
