Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #     A      #     #
#     #            #     #
#     #         C  #     #
#     #   B        #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[ 6.  6.]
 [ 4.  9.]
 [10.  8.]
 [ 6.  7.]
 [ 3.  9.]
 [ 9.  9.]
 [ 5.  8.]
 [ 3. 10.]
 [ 8. 10.]
 [ 4.  9.]
 [ 4. 10.]
 [ 8. 11.]
 [ 4. 10.]
 [ 3. 11.]
 [ 7. 12.]
 [ 3. 10.]
 [ 2. 11.]
 [ 6. 12.]
 [ 3. 11.]
 [ 1. 11.]
 [ 5. 12.]
 [ 3. 12.]
 [ 2. 12.]
 [ 6. 12.]
 [ 2. 12.]
 [ 2. 11.]
 [ 5. 11.]
 [ 3. 12.]
 [ 3. 12.]
 [ 6. 12.]
 [ 4. 11.]
 [ 4. 12.]
 [ 7. 11.]]
