trial_id,mode,relpath_txt,n_agents,seq_len_T,xy_json,cell_json
5_24_case10_10,logic,logic/5_24_case10_10.txt,5,11,"[[12, 12], [14, 5], [23, 9], [17, 3], [8, 18], [11, 12], [13, 5], [22, 9], [17, 4], [8, 19], [10, 12], [12, 5], [21, 9], [17, 5], [8, 20], [9, 12], [11, 5], [20, 9], [17, 6], [8, 21], [8, 12], [10, 5], [19, 9], [17, 7], [8, 22], [7, 12], [9, 5], [18, 9], [17, 8], [8, 23], [6, 12], [8, 5], [17, 9], [17, 9], [8, 24], [5, 12], [7, 5], [16, 9], [17, 10], [8, 24], [4, 12], [6, 5], [15, 9], [17, 11], [8, 24], [3, 12], [5, 5], [14, 9], [17, 12], [8, 24], [2, 12], [4, 5], [13, 9], [17, 13], [8, 24]]","[275, 109, 214, 64, 415, 274, 108, 213, 88, 439, 273, 107, 212, 112, 463, 272, 106, 211, 136, 487, 271, 105, 210, 160, 511, 270, 104, 209, 184, 535, 269, 103, 208, 208, 559, 268, 102, 207, 232, 559, 267, 101, 206, 256, 559, 266, 100, 205, 280, 559, 265, 99, 204, 304, 559]"
5_24_case1_1,logic,logic/5_24_case1_1.txt,5,11,"[[12, 12], [9, 6], [11, 3], [9, 10], [21, 1], [12, 13], [9, 7], [10, 3], [8, 10], [20, 1], [12, 14], [9, 8], [9, 3], [7, 10], [19, 1], [12, 15], [9, 9], [8, 3], [6, 10], [18, 1], [12, 16], [9, 10], [7, 3], [5, 10], [17, 1], [12, 17], [9, 11], [6, 3], [4, 10], [16, 1], [12, 18], [9, 12], [5, 3], [3, 10], [15, 1], [12, 19], [9, 13], [4, 3], [2, 10], [14, 1], [12, 20], [9, 14], [3, 3], [1, 10], [13, 1], [12, 21], [9, 15], [2, 3], [1, 10], [12, 1], [12, 22], [9, 16], [1, 3], [1, 10], [11, 1]]","[275, 128, 58, 224, 20, 299, 152, 57, 223, 19, 323, 176, 56, 222, 18, 347, 200, 55, 221, 17, 371, 224, 54, 220, 16, 395, 248, 53, 219, 15, 419, 272, 52, 218, 14, 443, 296, 51, 217, 13, 467, 320, 50, 216, 12, 491, 344, 49, 216, 11, 515, 368, 48, 216, 10]"
5_24_case2_2,logic,logic/5_24_case2_2.txt,5,11,"[[12, 12], [11, 18], [11, 15], [5, 7], [17, 11], [12, 13], [10, 18], [11, 16], [4, 7], [16, 11], [12, 14], [9, 18], [11, 17], [3, 7], [15, 11], [12, 15], [8, 18], [11, 18], [2, 7], [14, 11], [12, 16], [7, 18], [11, 19], [1, 7], [13, 11], [12, 17], [6, 18], [11, 20], [1, 7], [12, 11], [12, 18], [5, 18], [11, 21], [1, 7], [11, 11], [12, 19], [4, 18], [11, 22], [1, 7], [10, 11], [12, 20], [3, 18], [11, 23], [1, 7], [9, 11], [12, 21], [2, 18], [11, 24], [1, 7], [8, 11], [12, 22], [1, 18], [11, 24], [1, 7], [7, 11]]","[275, 418, 346, 148, 256, 299, 417, 370, 147, 255, 323, 416, 394, 146, 254, 347, 415, 418, 145, 253, 371, 414, 442, 144, 252, 395, 413, 466, 144, 251, 419, 412, 490, 144, 250, 443, 411, 514, 144, 249, 467, 410, 538, 144, 248, 491, 409, 562, 144, 247, 515, 408, 562, 144, 246]"
5_24_case3_3,logic,logic/5_24_case3_3.txt,5,11,"[[12, 12], [16, 17], [19, 20], [5, 19], [17, 5], [12, 13], [15, 17], [18, 20], [5, 20], [16, 5], [12, 14], [14, 17], [17, 20], [5, 21], [15, 5], [12, 15], [13, 17], [16, 20], [5, 22], [14, 5], [12, 16], [12, 17], [15, 20], [5, 23], [13, 5], [12, 17], [11, 17], [14, 20], [5, 24], [12, 5], [12, 18], [10, 17], [13, 20], [5, 24], [11, 5], [12, 19], [9, 17], [12, 20], [5, 24], [10, 5], [12, 20], [8, 17], [11, 20], [5, 24], [9, 5], [12, 21], [7, 17], [10, 20], [5, 24], [8, 5], [12, 22], [6, 17], [9, 20], [5, 24], [7, 5]]","[275, 399, 474, 436, 112, 299, 398, 473, 460, 111, 323, 397, 472, 484, 110, 347, 396, 471, 508, 109, 371, 395, 470, 532, 108, 395, 394, 469, 556, 107, 419, 393, 468, 556, 106, 443, 392, 467, 556, 105, 467, 391, 466, 556, 104, 491, 390, 465, 556, 103, 515, 389, 464, 556, 102]"
5_24_case4_4,logic,logic/5_24_case4_4.txt,5,11,"[[12, 12], [2, 6], [11, 4], [20, 21], [19, 19], [12, 13], [1, 6], [10, 4], [19, 21], [19, 20], [12, 14], [1, 6], [9, 4], [18, 21], [19, 21], [12, 15], [1, 6], [8, 4], [17, 21], [19, 22], [12, 16], [1, 6], [7, 4], [16, 21], [19, 23], [12, 17], [1, 6], [6, 4], [15, 21], [19, 24], [12, 18], [1, 6], [5, 4], [14, 21], [19, 24], [12, 19], [1, 6], [4, 4], [13, 21], [19, 24], [12, 20], [1, 6], [3, 4], [12, 21], [19, 24], [12, 21], [1, 6], [2, 4], [11, 21], [19, 24], [12, 22], [1, 6], [1, 4], [10, 21], [19, 24]]","[275, 121, 82, 499, 450, 299, 120, 81, 498, 474, 323, 120, 80, 497, 498, 347, 120, 79, 496, 522, 371, 120, 78, 495, 546, 395, 120, 77, 494, 570, 419, 120, 76, 493, 570, 443, 120, 75, 492, 570, 467, 120, 74, 491, 570, 491, 120, 73, 490, 570, 515, 120, 72, 489, 570]"
5_24_case5_5,logic,logic/5_24_case5_5.txt,5,11,"[[12, 12], [18, 7], [6, 12], [10, 20], [14, 12], [11, 12], [18, 8], [6, 13], [9, 20], [13, 12], [10, 12], [18, 9], [6, 14], [8, 20], [12, 12], [9, 12], [18, 10], [6, 15], [7, 20], [11, 12], [8, 12], [18, 11], [6, 16], [6, 20], [10, 12], [7, 12], [18, 12], [6, 17], [5, 20], [9, 12], [6, 12], [18, 13], [6, 18], [4, 20], [8, 12], [5, 12], [18, 14], [6, 19], [3, 20], [7, 12], [4, 12], [18, 15], [6, 20], [2, 20], [6, 12], [3, 12], [18, 16], [6, 21], [1, 20], [5, 12], [2, 12], [18, 17], [6, 22], [1, 20], [4, 12]]","[275, 161, 269, 465, 277, 274, 185, 293, 464, 276, 273, 209, 317, 463, 275, 272, 233, 341, 462, 274, 271, 257, 365, 461, 273, 270, 281, 389, 460, 272, 269, 305, 413, 459, 271, 268, 329, 437, 458, 270, 267, 353, 461, 457, 269, 266, 377, 485, 456, 268, 265, 401, 509, 456, 267]"
5_24_case6_6,logic,logic/5_24_case6_6.txt,5,11,"[[12, 12], [11, 14], [4, 22], [5, 23], [11, 12], [11, 12], [11, 15], [3, 22], [5, 24], [10, 12], [10, 12], [11, 16], [2, 22], [5, 24], [9, 12], [9, 12], [11, 17], [1, 22], [5, 24], [8, 12], [8, 12], [11, 18], [1, 22], [5, 24], [7, 12], [7, 12], [11, 19], [1, 22], [5, 24], [6, 12], [6, 12], [11, 20], [1, 22], [5, 24], [5, 12], [5, 12], [11, 21], [1, 22], [5, 24], [4, 12], [4, 12], [11, 22], [1, 22], [5, 24], [3, 12], [3, 12], [11, 23], [1, 22], [5, 24], [2, 12], [2, 12], [11, 24], [1, 22], [5, 24], [1, 12]]","[275, 322, 507, 532, 274, 274, 346, 506, 556, 273, 273, 370, 505, 556, 272, 272, 394, 504, 556, 271, 271, 418, 504, 556, 270, 270, 442, 504, 556, 269, 269, 466, 504, 556, 268, 268, 490, 504, 556, 267, 267, 514, 504, 556, 266, 266, 538, 504, 556, 265, 265, 562, 504, 556, 264]"
5_24_case7_7,logic,logic/5_24_case7_7.txt,5,11,"[[12, 12], [2, 22], [8, 19], [18, 18], [9, 11], [11, 12], [2, 23], [7, 19], [17, 18], [9, 12], [10, 12], [2, 24], [6, 19], [16, 18], [9, 13], [9, 12], [2, 24], [5, 19], [15, 18], [9, 14], [8, 12], [2, 24], [4, 19], [14, 18], [9, 15], [7, 12], [2, 24], [3, 19], [13, 18], [9, 16], [6, 12], [2, 24], [2, 19], [12, 18], [9, 17], [5, 12], [2, 24], [1, 19], [11, 18], [9, 18], [4, 12], [2, 24], [1, 19], [10, 18], [9, 19], [3, 12], [2, 24], [1, 19], [9, 18], [9, 20], [2, 12], [2, 24], [1, 19], [8, 18], [9, 21]]","[275, 505, 439, 425, 248, 274, 529, 438, 424, 272, 273, 553, 437, 423, 296, 272, 553, 436, 422, 320, 271, 553, 435, 421, 344, 270, 553, 434, 420, 368, 269, 553, 433, 419, 392, 268, 553, 432, 418, 416, 267, 553, 432, 417, 440, 266, 553, 432, 416, 464, 265, 553, 432, 415, 488]"
5_24_case8_8,logic,logic/5_24_case8_8.txt,5,11,"[[12, 12], [3, 13], [2, 9], [21, 3], [9, 13], [11, 12], [2, 13], [2, 10], [21, 4], [8, 13], [10, 12], [1, 13], [2, 11], [21, 5], [7, 13], [9, 12], [1, 13], [2, 12], [21, 6], [6, 13], [8, 12], [1, 13], [2, 13], [21, 7], [5, 13], [7, 12], [1, 13], [2, 14], [21, 8], [4, 13], [6, 12], [1, 13], [2, 15], [21, 9], [3, 13], [5, 12], [1, 13], [2, 16], [21, 10], [2, 13], [4, 12], [1, 13], [2, 17], [21, 11], [1, 13], [3, 12], [1, 13], [2, 18], [21, 12], [1, 13], [2, 12], [1, 13], [2, 19], [21, 13], [1, 13]]","[275, 290, 193, 68, 296, 274, 289, 217, 92, 295, 273, 288, 241, 116, 294, 272, 288, 265, 140, 293, 271, 288, 289, 164, 292, 270, 288, 313, 188, 291, 269, 288, 337, 212, 290, 268, 288, 361, 236, 289, 267, 288, 385, 260, 288, 266, 288, 409, 284, 288, 265, 288, 433, 308, 288]"
5_24_case9_9,logic,logic/5_24_case9_9.txt,5,11,"[[12, 12], [23, 7], [8, 2], [15, 14], [19, 20], [11, 12], [22, 7], [8, 3], [14, 14], [19, 21], [10, 12], [21, 7], [8, 4], [13, 14], [19, 22], [9, 12], [20, 7], [8, 5], [12, 14], [19, 23], [8, 12], [19, 7], [8, 6], [11, 14], [19, 24], [7, 12], [18, 7], [8, 7], [10, 14], [19, 24], [6, 12], [17, 7], [8, 8], [9, 14], [19, 24], [5, 12], [16, 7], [8, 9], [8, 14], [19, 24], [4, 12], [15, 7], [8, 10], [7, 14], [19, 24], [3, 12], [14, 7], [8, 11], [6, 14], [19, 24], [2, 12], [13, 7], [8, 12], [5, 14], [19, 24]]","[275, 166, 31, 326, 474, 274, 165, 55, 325, 498, 273, 164, 79, 324, 522, 272, 163, 103, 323, 546, 271, 162, 127, 322, 570, 270, 161, 151, 321, 570, 269, 160, 175, 320, 570, 268, 159, 199, 319, 570, 267, 158, 223, 318, 570, 266, 157, 247, 317, 570, 265, 156, 271, 316, 570]"
