Maze:
##########################
#                        #
#                        #
#                        #
#                        #
#                        #
#     ##############     #
#     #            #     #
#     #  B         #     #
#     #            #     #
#     #            #     #
#     #C           #     #
#     #     A      #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     #            #     #
#     ##############     #
#                        #
#                        #
#                        #
#                        #
#                        #
##########################
[[6. 6.]
 [3. 2.]
 [1. 5.]
 [7. 5.]
 [3. 3.]
 [2. 5.]
 [7. 4.]
 [2. 4.]
 [1. 5.]
 [7. 3.]
 [3. 3.]
 [2. 4.]
 [6. 3.]
 [2. 2.]
 [1. 3.]
 [7. 2.]
 [1. 2.]
 [1. 2.]
 [8. 3.]
 [2. 1.]
 [2. 2.]
 [8. 2.]
 [3. 2.]
 [3. 2.]
 [8. 3.]
 [3. 1.]
 [3. 2.]
 [7. 3.]
 [2. 2.]
 [2. 3.]
 [6. 3.]
 [2. 1.]
 [1. 2.]]
